[2024-10-02 14:26:16.257]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-cpu tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum tmux-plugins/tmux-pain-control tmux-plugins/tmux-sensible
[2024-10-02 14:26:16.267]	 Invoking /Users/sean/.config/tmux/plugins/tpm/bin/install_plugins
[2024-10-02 14:26:16.752]	 Installing "tmux-cpu"
[2024-10-02 14:26:16.752]	 Installing "tmux-copycat"
[2024-10-02 14:26:16.753]	 Installing "tmux-resurrect"
[2024-10-02 14:26:16.754]	 Installing "tmux-continuum"
[2024-10-02 14:26:16.754]	 Installing "tmux-pain-control"
[2024-10-02 14:26:16.754]	 Installing "tmux-sensible"
[2024-10-02 14:26:17.287]	   "tmux-cpu" download success
[2024-10-02 14:26:17.287]	   "tmux-pain-control" download success
[2024-10-02 14:26:17.288]	   "tmux-sensible" download success
[2024-10-02 14:26:17.294]	   "tmux-continuum" download success
[2024-10-02 14:26:17.297]	   "tmux-copycat" download success
[2024-10-02 14:26:17.695]	   "tmux-resurrect" download success
[2024-10-02 14:26:17.707]	 Done.

[2024-10-02 14:28:40.915]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-cpu tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum tmux-plugins/tmux-pain-control tmux-plugins/tmux-sensible catppuccin/tmux#latest
[2024-10-02 14:28:40.924]	 Invoking /Users/sean/.config/tmux/plugins/tpm/bin/install_plugins
[2024-10-02 14:28:41.149]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-cpu tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum tmux-plugins/tmux-pain-control tmux-plugins/tmux-sensible catppuccin/tmux#latest
[2024-10-02 14:28:41.157]	 Invoking /Users/sean/.config/tmux/plugins/tpm/bin/install_plugins
[2024-10-02 14:28:41.300]	 Already installed "tmux-resurrect"
[2024-10-02 14:28:41.300]	 Already installed "tmux-pain-control"
[2024-10-02 14:28:41.301]	 Already installed "tmux-copycat"
[2024-10-02 14:28:41.301]	 Already installed "tmux-continuum"
[2024-10-02 14:28:41.302]	 Already installed "tmux-cpu"
[2024-10-02 14:28:41.302]	 Already installed "tmux"
[2024-10-02 14:28:41.303]	 Already installed "tmux-sensible"
[2024-10-02 14:28:41.312]	 Invoking /Users/sean/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-10-02 14:28:41.093]	 Installing "tmux"
[2024-10-02 14:28:41.105]	 Already installed "tmux-cpu"
[2024-10-02 14:28:41.105]	 Already installed "tmux-pain-control"
[2024-10-02 14:28:41.105]	 Already installed "tmux-continuum"
[2024-10-02 14:28:41.105]	 Already installed "tmux-resurrect"
[2024-10-02 14:28:41.106]	 Already installed "tmux-copycat"
[2024-10-02 14:28:41.106]	 Already installed "tmux-sensible"
[2024-10-02 14:28:41.612]	   "tmux" download success
[2024-10-02 14:28:41.622]	 Invoking /Users/sean/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-10-02 14:28:41.550]	 Updating all plugins!
[2024-10-02 14:28:41.550]	 
[2024-10-02 14:28:41.944]	   "tmux-copycat" update success
[2024-10-02 14:28:41.949]	     | Already up to date.
[2024-10-02 14:28:41.978]	   "tmux-cpu" update success
[2024-10-02 14:28:41.984]	     | Already up to date.
[2024-10-02 14:28:42.002]	   "tmux-continuum" update success
[2024-10-02 14:28:42.004]	     | Already up to date.
[2024-10-02 14:28:42.033]	   "tmux-pain-control" update success
[2024-10-02 14:28:42.039]	     | Already up to date.
[2024-10-02 14:28:42.039]	   "tmux" update success
[2024-10-02 14:28:42.045]	     | Already up to date.
